condition,question,db_id,gold_sql,pred_sql,hardness,heuristic_hint,error_category
E0_zero_shot,"List the name, date and result of each battle.",battle_death,"SELECT name ,  date FROM battle","SELECT name, date, result FROM battle",medium,wrong_column_selected?,wrong_column_selected
E3_dynamic_correction,find the names of loser and winner who played in the match with greatest number of minutes.,wta_1,"SELECT winner_name ,  loser_name FROM matches ORDER BY minutes DESC LIMIT 1","SELECT loser_name, winner_name FROM matches ORDER BY minutes DESC LIMIT 1",medium,wrong_column_selected?,wrong_column_selected
E1_static_fewshot,What are the names of players who won in both 2013 and 2016?,wta_1,SELECT winner_name FROM matches WHERE YEAR  =  2013 INTERSECT SELECT winner_name FROM matches WHERE YEAR  =  2016,"SELECT T1.first_name, T1.last_name FROM players AS T1 INNER JOIN (SELECT winner_id FROM matches WHERE year = 2013 INTERSECT SELECT winner_id FROM matches WHERE year = 2016) AS T2 ON T1.player_id = T2.winner_id",hard,wrong_table_join?;wrong_column_selected?,wrong_table_join
E2_dynamic_fewshot,What are the first name and last name of the professionals who have done treatment with cost below average?,dog_kennels,"SELECT DISTINCT T1.first_name ,  T1.last_name FROM Professionals AS T1 JOIN Treatments AS T2 WHERE cost_of_treatment  <  ( SELECT avg(cost_of_treatment) FROM Treatments )","SELECT DISTINCT T1.first_name, T1.last_name FROM Professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id = T2.professional_id WHERE T2.cost_of_treatment < (SELECT AVG(cost_of_treatment) FROM Treatments)",extra,wrong_column_selected?,wrong_column_selected
E1_static_fewshot,Find the number of matches happened in each year.,wta_1,"SELECT count(*) ,  YEAR FROM matches GROUP BY YEAR","SELECT year ,  count(*) FROM matches GROUP BY year",medium,wrong_column_selected?,wrong_column_selected
E2_dynamic_fewshot,What are the African countries that have a  population less than any country in Asia?,world_1,"SELECT Name FROM country WHERE Continent  =  ""Africa""  AND population  <  (SELECT max(population) FROM country WHERE Continent  =  ""Asia"")",SELECT Name FROM country WHERE Continent = 'Africa' AND Population < (SELECT MIN(Population) FROM country WHERE Continent = 'Asia'),extra,other?,other
E3_dynamic_correction,How many car makers are there in france?,car_1,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';,SELECT count(*) FROM car_makers WHERE Country = 'France',medium,wrong_table_join?,wrong_table_join
E0_zero_shot,How many car models are produced by each maker ? Only list the count and the maker full name .,car_1,"select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;","SELECT T1.FullName, COUNT(T2.ModelId) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker GROUP BY T1.FullName",medium,wrong_column_selected?,wrong_column_selected
E0_zero_shot,What are the ids of high school students who do not have friends?,network_1,SELECT id FROM Highschooler EXCEPT SELECT student_id FROM Friend,SELECT ID FROM Highschooler WHERE ID NOT IN (SELECT student_id FROM Friend UNION SELECT friend_id FROM Friend);,hard,wrong_filter_value?,wrong_filter_value
E2_dynamic_fewshot,"For a volvo model, how many cylinders does the version with least accelerate have?",car_1,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,SELECT T2.Cylinders FROM car_names AS T1 JOIN cars_data AS T2 ON T1.MakeId = T2.Id WHERE T1.Make = 'volvo' ORDER BY T2.Accelerate ASC LIMIT 1,extra,wrong_column_selected?,wrong_column_selected
E0_zero_shot,What are the region and population of Angola?,world_1,"SELECT Population ,  Region FROM country WHERE Name  =  ""Angola""","SELECT Region, Population FROM country WHERE Name = 'Angola'",medium,wrong_column_selected?,wrong_column_selected
E0_zero_shot,What are the African countries that have a  population less than any country in Asia?,world_1,"SELECT Name FROM country WHERE Continent  =  ""Africa""  AND population  <  (SELECT max(population) FROM country WHERE Continent  =  ""Asia"")",SELECT Name FROM country WHERE Continent = 'Africa' AND Population < (SELECT MIN(Population) FROM country WHERE Continent = 'Asia'),extra,other?,other
E1_static_fewshot,"List the name, date and result of each battle.",battle_death,"SELECT name ,  date FROM battle","SELECT name, date, result FROM battle",medium,wrong_column_selected?,wrong_column_selected
E0_zero_shot,What is the first name of every student who has a dog but does not have a cat?,pets_1,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",SELECT T1.Fname FROM Student AS T1 WHERE T1.StuID IN (SELECT T2.StuID FROM Has_Pet AS T2 INNER JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'dog' EXCEPT SELECT T2.StuID FROM Has_Pet AS T2 INNER JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'cat'),extra,wrong_column_selected?,wrong_column_selected
E3_dynamic_correction,What are all the possible breed type and size type combinations?,dog_kennels,"SELECT DISTINCT breed_code ,  size_code FROM dogs","SELECT T1.breed_name, T2.size_description FROM Breeds AS T1 CROSS JOIN Sizes AS T2",medium,wrong_table_join?;wrong_column_selected?,wrong_table_join?;wrong_column_selected
E1_static_fewshot,Count the number of documents that use the PPT template type.,cre_Doc_Template_Mgt,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',SELECT COUNT(T1.Document_ID) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID = T2.Template_ID JOIN Ref_Template_Types AS T3 ON T2.Template_Type_Code = T3.Template_Type_Code WHERE T3.Template_Type_Description = 'PPT',medium,wrong_column_selected?,wrong_column_selected
E0_zero_shot,What are the names of the countries with no car makers?,car_1,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,SELECT CountryName FROM countries WHERE CountryName NOT IN (SELECT Country FROM car_makers),hard,wrong_table_join?;wrong_filter_value?,wrong_table_join?;wrong_filter_value
E1_static_fewshot,What is minimum and maximum share of TV series?,tvshow,"SELECT max(SHARE) , min(SHARE) FROM TV_series;","SELECT min(Share), max(Share) FROM TV_series",medium,wrong_column_selected?,wrong_column_selected
E2_dynamic_fewshot,Find the highest rank of losers in all matches.,wta_1,SELECT min(loser_rank) FROM matches,SELECT MAX(loser_rank) FROM matches,easy,wrong_column_selected?,wrong_column_selected
E2_dynamic_fewshot,Find the government form name and total population for each government form whose average life expectancy is longer than 72.,world_1,"SELECT sum(Population) ,  GovernmentForm FROM country GROUP BY GovernmentForm HAVING avg(LifeExpectancy)  >  72","SELECT GovernmentForm ,  SUM(Population) FROM country GROUP BY GovernmentForm HAVING AVG(LifeExpectancy)  >  72",medium,wrong_column_selected?,wrong_column_selected
E1_static_fewshot,What is the number of car models that are produced by each maker and what is the id and full name of each maker?,car_1,"SELECT Count(*) ,  T2.FullName ,  T2.id FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id GROUP BY T2.id;","SELECT T1.Id ,  T1.FullName ,  COUNT(T2.ModelId) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id ,  T1.FullName",medium,wrong_column_selected?,
E3_dynamic_correction,Return the country name and the numbers of languages spoken for each country that speaks at least 3 languages.,world_1,"SELECT COUNT(T2.Language) ,  T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode GROUP BY T1.Name HAVING COUNT(*)  >  2","SELECT T1.Name ,  COUNT(T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode GROUP BY T1.Name HAVING COUNT(T2.Language)  >=  3",medium,wrong_column_selected?,
E0_zero_shot,What is the model of the car with the smallest amount of horsepower?,car_1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,SELECT T1.Model FROM car_names AS T1 INNER JOIN cars_data AS T2 ON T1.MakeId = T2.Id WHERE CAST(T2.Horsepower AS INTEGER) IS NOT NULL ORDER BY CAST(T2.Horsepower AS INTEGER) ASC LIMIT 1,hard,wrong_filter_value?,
E0_zero_shot,Show paragraph details for paragraph with text 'Korea ' .,cre_Doc_Template_Mgt,select other_details from paragraphs where paragraph_text like 'korea',"SELECT Paragraph_Text, Other_Details FROM Paragraphs WHERE Paragraph_Text = 'Korea '",medium,wrong_column_selected?,
E0_zero_shot,What is the name of the high schooler who has the greatest number of likes?,network_1,SELECT T2.name FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,SELECT T1.name FROM Highschooler AS T1 INNER JOIN Likes AS T2 ON T1.ID = T2.liked_id GROUP BY T1.ID ORDER BY COUNT(T2.liked_id) DESC LIMIT 1,extra,wrong_column_selected?,
E1_static_fewshot,What are the ids and names of all countries that either have more than 3 car makers or produce fiat model ?,car_1,"select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  3 union select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country join model_list as t3 on t2.id  =  t3.maker where t3.model  =  'fiat';","SELECT T1.CountryId, T1.CountryName FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryName = T2.Country GROUP BY T1.CountryId HAVING COUNT(T2.Id) > 3 UNION SELECT T1.CountryId, T1.CountryName FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryName = T2.Country JOIN model_list AS T3 ON T2.Id = T3.Maker WHERE T3.Model = 'fiat'",extra,wrong_column_selected?,
E1_static_fewshot,What are the region and population of Angola?,world_1,"SELECT Population ,  Region FROM country WHERE Name  =  ""Angola""","SELECT Region ,  Population FROM country WHERE Name = 'Angola'",medium,wrong_column_selected?,
E3_dynamic_correction,"What is the first, middle, and last name, along with the id and number of enrollments, for the student who enrolled the most in any program?",student_transcripts_tracking,"SELECT T1.student_id ,  T1.first_name ,  T1.middle_name ,  T1.last_name ,  count(*) ,  T1.student_id FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.first_name, T1.middle_name, T1.last_name, T1.student_id, COUNT(T2.student_enrolment_id) FROM Students AS T1 JOIN Student_Enrolment AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY COUNT(T2.student_enrolment_id) DESC LIMIT 1",extra,wrong_column_selected?,
E2_dynamic_fewshot,What is the age of the oldest dog?,dog_kennels,SELECT max(age) FROM Dogs,SELECT age FROM Dogs ORDER BY date_of_birth ASC LIMIT 1,easy,wrong_column_selected?,
E3_dynamic_correction,Find the minimum grade of students who have no friends.,network_1,SELECT min(grade) FROM Highschooler WHERE id NOT IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id),SELECT MIN(T1.grade) FROM Highschooler AS T1 WHERE T1.ID NOT IN (SELECT student_id FROM Friend UNION SELECT friend_id FROM Friend),extra,wrong_table_join?;wrong_column_selected?,
E1_static_fewshot,How many states are there?,voter_1,SELECT count(*) FROM area_code_state,SELECT count(DISTINCT state) FROM AREA_CODE_STATE,easy,wrong_column_selected?,
E2_dynamic_fewshot,What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,student_transcripts_tracking,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',SELECT T1.first_name FROM Students AS T1 JOIN Addresses AS T2 ON T1.permanent_address_id = T2.address_id WHERE T2.country = 'Haiti' UNION SELECT first_name FROM Students WHERE cell_mobile_number = '09700166582',hard,other?,
E1_static_fewshot,What are the names of the singers who are not French citizens?,singer,"SELECT Name FROM singer WHERE Citizenship != ""France""",SELECT Name FROM singer WHERE Citizenship != 'French',easy,other?,
E0_zero_shot,"Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ?",car_1,"select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <  4;","SELECT T1.MakeId, T1.Model FROM car_names AS T1 INNER JOIN cars_data AS T2 ON T1.MakeId = T2.Id WHERE CAST(T2.Horsepower AS REAL) != (SELECT MIN(CAST(Horsepower AS REAL)) FROM cars_data WHERE Horsepower != 'NA') AND T2.Horsepower != 'NA' AND T2.Cylinders < 4",extra,wrong_column_selected?,
E3_dynamic_correction,What is the age of the oldest dog?,dog_kennels,SELECT max(age) FROM Dogs,SELECT age FROM Dogs ORDER BY date_of_birth ASC LIMIT 1,easy,wrong_column_selected?,
E1_static_fewshot,What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,student_transcripts_tracking,select t1.first_name from students as t1 join addresses as t2 on t1.permanent_address_id  =  t2.address_id where t2.country  =  'haiti' or t1.cell_mobile_number  =  '09700166582',SELECT T1.first_name FROM Students AS T1 INNER JOIN Addresses AS T2 ON T1.permanent_address_id = T2.address_id WHERE T2.country = 'Haiti' OR T1.cell_mobile_number = '09700166582',hard,other?,
E3_dynamic_correction,Find the id of students who do not have a cat pet.,pets_1,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',SELECT StuID FROM Student EXCEPT SELECT T1.StuID FROM Has_Pet AS T1 JOIN Pets AS T2 ON T1.PetID  =  T2.PetID WHERE T2.PetType  =  'Cat',hard,other?,
E0_zero_shot,What is the name of each continent and how many car makers are there in each one?,car_1,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;","SELECT T1.Continent, COUNT(T3.Id) FROM continents AS T1 JOIN countries AS T2 ON T1.ContId = T2.Continent JOIN car_makers AS T3 ON T2.CountryName = T3.Country GROUP BY T1.Continent",hard,wrong_column_selected?,
E3_dynamic_correction,Tell me the owner id and last name of the owner who spent the most on treatments of his or her dogs.,dog_kennels,"SELECT T1.owner_id ,  T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id JOIN Treatments AS T3 ON T2.dog_id  =  T3.dog_id GROUP BY T1.owner_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.owner_id, T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id = T2.owner_id JOIN Treatments AS T3 ON T2.dog_id = T3.dog_id GROUP BY T1.owner_id ORDER BY SUM(T3.cost_of_treatment) DESC LIMIT 1",extra,wrong_column_selected?,
E3_dynamic_correction,"List the name, date and result of each battle.",battle_death,"SELECT name ,  date FROM battle","SELECT name, date, result FROM battle",medium,wrong_column_selected?,
